date_obs,co_lat,area
2015-07-20T09:43:24.70,2.58,9
2015-07-20T09:43:24.70,2.579,23
2015-07-20T09:43:24.70,2.578,19
2015-07-20T09:43:24.70,2.573,4
2015-07-20T09:43:24.70,2.57,9
2015-07-20T09:43:24.70,2.576,7
2015-07-20T09:43:24.70,2.58,15
2015-07-20T09:43:24.70,2.573,19
2015-07-20T09:43:24.70,2.57,6
2015-07-20T09:43:24.70,2.545,4
2015-07-20T09:43:24.70,2.567,5
2015-07-20T09:43:24.70,2.58,4
2015-07-20T09:43:24.70,2.58,5
2015-07-20T09:43:24.70,2.58,7
2015-07-20T09:43:24.70,2.547,5
2015-07-20T09:43:24.70,2.56,11
2015-07-20T09:43:24.70,2.577,17
2015-07-20T09:43:24.70,2.568,9
2015-07-20T09:43:24.70,2.576,5
2015-07-20T09:43:24.70,2.569,8
2015-07-20T09:43:24.70,2.537,5
2015-07-20T09:43:24.70,2.534,6
2015-07-20T09:43:24.70,2.576,5
2015-07-20T09:43:24.70,2.557,6
2015-07-20T09:43:24.70,2.544,5
2015-07-20T09:43:24.70,2.538,6
2015-07-20T09:43:24.70,2.543,4
2015-07-20T09:43:24.70,2.557,4
2015-07-20T09:43:24.70,2.558,4
2015-07-20T09:43:24.70,2.57,37
2015-07-20T09:43:24.70,2.564,5
2015-07-20T09:43:24.70,2.559,8
2015-07-20T09:43:24.70,2.544,4
2015-07-20T09:43:24.70,2.572,7
2015-07-20T09:43:24.70,2.575,10
2015-07-20T09:43:24.70,2.574,5
2015-07-20T09:43:24.70,2.576,4
2015-07-20T09:43:24.70,2.575,17
2015-07-20T09:43:24.70,2.574,5
2015-07-20T09:43:24.70,2.564,4
2015-07-20T09:43:24.70,2.568,13
2015-07-20T09:43:24.70,2.573,4
2015-07-20T09:43:24.70,2.571,17
2015-07-20T09:43:24.70,2.565,129
2015-07-20T09:43:24.70,2.556,5
2015-07-20T09:43:24.70,2.561,4
2015-07-20T09:43:24.70,2.572,5
2015-07-20T09:43:24.70,2.57,40
2015-07-20T09:43:24.70,2.57,4
2015-07-20T09:43:24.70,2.556,4
2015-07-20T09:43:24.70,2.543,5
2015-07-20T09:43:24.70,2.567,8
2015-07-20T09:43:24.70,2.566,40
2015-07-20T09:43:24.70,2.57,5
2015-07-20T09:43:24.70,2.57,4
2015-07-20T09:43:24.70,2.567,7
2015-07-20T09:43:24.70,2.561,42
2015-07-20T09:43:24.70,2.543,8
2015-07-20T09:43:24.70,2.536,4
2015-07-20T09:43:24.70,2.566,23
2015-07-20T09:43:24.70,2.568,35
2015-07-20T09:43:24.70,2.528,6
2015-07-20T09:43:24.70,2.567,6
2015-07-20T09:43:24.70,2.569,20
2015-07-20T09:43:24.70,2.569,4
2015-07-20T09:43:24.70,2.548,9
2015-07-20T09:43:24.70,2.566,7
2015-07-20T09:43:24.70,2.567,10
