filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210525T192457.fits,5/25/21 19:24,54.725489,79.1288,0,2459360.304,-0.6808,2.00E-04
neidL2_20210525T192324.fits,5/25/21 19:23,54.805835,79.1342,0,2459360.303,-0.6776,2.00E-04
neidL2_20210525T192151.fits,5/25/21 19:21,54.751844,79.1285,0,2459360.302,-0.6807,2.00E-04
neidL2_20210525T192017.fits,5/25/21 19:20,54.81738,79.1117,0,2459360.301,-0.681,2.00E-04
neidL2_20210524T192449.fits,5/24/21 19:24,54.853149,78.9518,0,2459359.304,-0.6791,2.00E-04
neidL2_20210524T192316.fits,5/24/21 19:23,54.836722,78.9569,0,2459359.303,-0.6792,2.00E-04
neidL2_20210524T192143.fits,5/24/21 19:21,54.846389,78.9511,0,2459359.302,-0.6792,2.00E-04
neidL2_20210524T192010.fits,5/24/21 19:20,54.824085,78.9345,0,2459359.301,-0.6795,2.00E-04
neidL2_20210523T192501.fits,5/23/21 19:25,54.832067,78.7665,0,2459358.304,-0.6795,2.00E-04
neidL2_20210523T192328.fits,5/23/21 19:23,54.817997,78.7735,0,2459358.303,-0.679,2.00E-04
neidL2_20210523T192155.fits,5/23/21 19:21,54.824839,78.7698,0,2459358.302,-0.6791,2.00E-04
neidL2_20210523T192022.fits,5/23/21 19:20,54.824143,78.7554,0,2459358.301,-0.6799,2.00E-04
neidL2_20210523T191849.fits,5/23/21 19:18,54.823518,78.7303,0,2459358.3,-0.6776,2.00E-04
neidL2_20210521T192451.fits,5/21/21 19:24,54.822429,78.3824,0,2459356.304,-0.638,2.00E-04
neidL2_20210521T192317.fits,5/21/21 19:23,54.821699,78.3891,0,2459356.303,-0.6407,2.00E-04
neidL2_20210521T192144.fits,5/21/21 19:21,54.85087,78.3854,0,2459356.302,-0.6386,2.00E-04
neidL2_20210521T192011.fits,5/21/21 19:20,54.824451,78.3711,0,2459356.301,-0.638,2.00E-04
neidL2_20210519T192539.fits,5/19/21 19:25,54.718933,77.9663,0,2459354.305,-0.6414,2.00E-04
neidL2_20210519T192406.fits,5/19/21 19:24,54.830105,77.9787,0,2459354.304,-0.6415,2.00E-04
neidL2_20210519T192232.fits,5/19/21 19:22,54.76355,77.9811,0,2459354.303,-0.6408,2.00E-04
neidL2_20210519T192058.fits,5/19/21 19:20,54.819154,77.9733,0,2459354.302,-0.6407,2.00E-04
neidL2_20210519T191924.fits,5/19/21 19:19,54.747518,77.9553,0,2459354.3,-0.6419,2.00E-04
neidL2_20210518T192441.fits,5/18/21 19:24,54.843756,77.7625,0,2459353.304,-0.6809,2.00E-04
neidL2_20210518T192308.fits,5/18/21 19:23,54.820461,77.7689,0,2459353.303,-0.6817,2.00E-04
neidL2_20210518T192134.fits,5/18/21 19:21,54.824768,77.7654,0,2459353.302,-0.6825,2.00E-04
neidL2_20210518T192000.fits,5/18/21 19:20,54.814881,77.7518,0,2459353.301,-0.6817,2.00E-04
neidL2_20210517T192457.fits,5/17/21 19:24,54.823906,77.5422,0,2459352.304,-0.6415,2.00E-04
neidL2_20210517T192324.fits,5/17/21 19:23,54.760616,77.5504,0,2459352.303,-0.6414,2.00E-04
neidL2_20210517T192151.fits,5/17/21 19:21,54.83798,77.5489,0,2459352.302,-0.6402,2.00E-04
neidL2_20210517T192017.fits,5/17/21 19:20,54.761929,77.5376,0,2459352.301,-0.6406,2.00E-04
neidL2_20210516T192426.fits,5/16/21 19:24,54.753683,77.3222,0,2459351.304,-0.6395,2.00E-04
neidL2_20210516T192253.fits,5/16/21 19:22,54.861623,77.3273,0,2459351.303,-0.6403,2.00E-04
neidL2_20210516T192120.fits,5/16/21 19:21,54.775396,77.3229,0,2459351.302,-0.6421,2.00E-04
neidL2_20210516T191946.fits,5/16/21 19:19,54.838383,77.3086,0,2459351.301,-0.64,2.00E-04
neidL2_20210515T192518.fits,5/15/21 19:25,54.819033,77.0861,0,2459350.305,-0.6824,2.00E-04
neidL2_20210515T192345.fits,5/15/21 19:23,54.778807,77.0965,0,2459350.303,-0.6827,2.00E-04
neidL2_20210515T192211.fits,5/15/21 19:22,54.82449,77.0975,0,2459350.302,-0.6821,2.00E-04
neidL2_20210515T192038.fits,5/15/21 19:20,54.800841,77.0889,0,2459350.301,-0.6815,2.00E-04
neidL2_20210515T191904.fits,5/15/21 19:19,54.806815,77.0708,0,2459350.3,-0.6827,2.00E-04
neidL2_20210514T192507.fits,5/14/21 19:25,54.770788,76.8533,0,2459349.304,-0.64,2.00E-04
neidL2_20210514T192334.fits,5/14/21 19:23,54.827106,76.8626,0,2459349.303,-0.6401,2.00E-04
neidL2_20210514T192200.fits,5/14/21 19:22,54.78494,76.8625,0,2459349.302,-0.6418,2.00E-04
neidL2_20210514T192027.fits,5/14/21 19:20,54.814387,76.8532,0,2459349.301,-0.64,2.00E-04
neidL2_20210514T191853.fits,5/14/21 19:18,54.804804,76.8343,0,2459349.3,-0.6395,2.00E-04
neidL2_20210513T192513.fits,5/13/21 19:25,54.842894,76.6128,0,2459348.304,-0.6382,2.00E-04
neidL2_20210513T192339.fits,5/13/21 19:23,54.799213,76.6225,0,2459348.303,-0.6396,2.00E-04
neidL2_20210513T192206.fits,5/13/21 19:22,54.838429,76.623,0,2459348.302,-0.6411,2.00E-04
neidL2_20210513T192033.fits,5/13/21 19:20,54.792173,76.6144,0,2459348.301,-0.6383,2.00E-04
